;;2020;2021;2022;2023;2024
Austria;AT;33;107;261;102;81
Belgium;BE;32;104;244;97;70
Croatia;HR;?;?;?;?;?
Cyprus;CY;?;?;?;?;?
Czech Republic;CZ;34;101;247;101;85
Denmark;DK;25;88;219;87;71
Estonia;ET;34;87;192;91;87
Finland;FI;28;72;154;56;46
France;FR;33;109;276;97;58
Germany;DE;30;97;235;95;76
Greece;GR;45;116;280;119;101
Iceland;IC;?;?;?;?;?
Ireland;IE;38;136;226;122;109
Italy;IT;?;?;?;?;?
Lithuania;LI;34;90;230;94;87
Luxembourg;LU;30;97;235;95;78
Netherlands;NL;41;103;242;96;77
Norway;NO;9;75;211;79;50
Portugal;PO;34;112;168;88;64
Serbia;SE;39;114;274;103;102
Slovakia;SK;34;103;265;105;93
Slovenia;SL;38;115;274;104;91
Spain;ES;34;112;168;87;63
Sweden;SW;26;81;162;65;50
Switzerland;CH;?;?;?;?;?